"Time","hestia/local/temperature.mean"
2023-04-03 20:50:00,75 °F
2023-04-03 20:55:00,74 °F
2023-04-03 21:05:00,75 °F
2023-04-03 21:40:00,75.5 °F
2023-04-03 21:50:00,74 °F
2023-04-03 21:55:00,75 °F
2023-04-03 22:20:00,75.5 °F
2023-04-03 22:25:00,74 °F
2023-04-03 22:35:00,75 °F
2023-04-03 23:00:00,74 °F
2023-04-03 23:10:00,75 °F
2023-04-04 00:40:00,76 °F
2023-04-04 01:05:00,75.5 °F
2023-04-04 03:50:00,75 °F
2023-04-04 04:15:00,75.5 °F
2023-04-04 04:20:00,76 °F
2023-04-04 10:55:00,77 °F
2023-04-04 21:45:00,78 °F
2023-04-04 23:10:00,78 °F
2023-04-04 23:15:00,77 °F
2023-04-04 23:25:00,76 °F
2023-04-04 23:30:00,75.5 °F
2023-04-04 23:40:00,77 °F
2023-04-05 09:10:00,76.5 °F
2023-04-05 09:15:00,75 °F
2023-04-05 09:25:00,74 °F
2023-04-05 09:30:00,75 °F
2023-04-05 09:40:00,76 °F
2023-04-05 19:50:00,75.4 °F
2023-04-05 19:55:00,75.6 °F
2023-04-05 20:00:00,75.3 °F
2023-04-05 23:50:00,74.5 °F
2023-04-05 23:55:00,74 °F
2023-04-06 04:00:00,73.3 °F
2023-04-06 04:05:00,73.6 °F
2023-04-06 04:10:00,73 °F
2023-04-07 03:00:00,71 °F
2023-04-07 03:05:00,71.5 °F
2023-04-07 03:10:00,71.5 °F
2023-04-07 10:15:00,70.5 °F
2023-04-07 10:20:00,70.5 °F
2023-04-07 11:15:00,70.5 °F
2023-04-07 11:30:00,70.5 °F
2023-04-07 11:40:00,70.5 °F
2023-04-07 11:45:00,70.3 °F
2023-04-07 11:50:00,71 °F
2023-04-07 12:00:00,70.5 °F
2023-04-07 12:05:00,70 °F
2023-04-07 13:00:00,70.5 °F
2023-04-07 14:30:00,71 °F
2023-04-07 14:40:00,70.4 °F
